"地域","延べ宿泊者数（総数）【人泊】","注記"
"北海道","45434840","速報"
"青森県","5125880","速報"
"岩手県","5588130","速報"
"宮城県","10493490","速報"
"秋田県","2935350","速報"
"山形県","4734920","速報"
"福島県","9575280","速報"
"茨城県","6841440","速報"
"栃木県","10870450","速報"
"群馬県","8722870","速報"
"埼玉県","5517670","速報"
"千葉県","28053980","速報"
"東京都","106687770","速報"
"神奈川県","27212050","速報"
"新潟県","10116800","速報"
"富山県","3748560","速報"
"石川県","9653310","速報"
"福井県","3867680","速報"
"山梨県","9685330","速報"
"長野県","18930810","速報"
"岐阜県","8123670","速報"
"静岡県","22239500","速報"
"愛知県","22801460","速報"
"三重県","9328680","速報"
"滋賀県","4718070","速報"
"京都府","33968650","速報"
"大阪府","57600530","速報"
"兵庫県","16327450","速報"
"奈良県","3164290","速報"
"和歌山県","4958220","速報"
"鳥取県","2489690","速報"
"島根県","3344990","速報"
"岡山県","5773900","速報"
"広島県","11705950","速報"
"山口県","3673760","速報"
"徳島県","2648640","速報"
"香川県","4852440","速報"
"愛媛県","4341480","速報"
"高知県","2754880","速報"
"福岡県","24175890","速報"
"佐賀県","2356240","速報"
"長崎県","7383830","速報"
"熊本県","8281360","速報"
"大分県","8232770","速報"
"宮崎県","3866520","速報"
"鹿児島県","8278460","速報"
"沖縄県","32288990","速報"
