"地域","延べ宿泊者数（総数）【人泊】","注記"
"北海道","3368710","速報"
"青森県","390620","速報"
"岩手県","424400","速報"
"宮城県","854980","速報"
"秋田県","266980","速報"
"山形県","369480","速報"
"福島県","845180","速報"
"茨城県","796800","速報"
"栃木県","1009410","速報"
"群馬県","760240","速報"
"埼玉県","509190","速報"
"千葉県","2744080","速報"
"東京都","7935300","速報"
"神奈川県","2225410","速報"
"新潟県","919230","速報"
"富山県","348440","速報"
"石川県","849090","速報"
"福井県","298280","速報"
"山梨県","813790","速報"
"長野県","1494490","速報"
"岐阜県","652670","速報"
"静岡県","2077500","速報"
"愛知県","1803840","速報"
"三重県","865600","速報"
"滋賀県","454460","速報"
"京都府","2602210","速報"
"大阪府","4377790","速報"
"兵庫県","1487280","速報"
"奈良県","286750","速報"
"和歌山県","482100","速報"
"鳥取県","278910","速報"
"島根県","306890","速報"
"岡山県","487740","速報"
"広島県","994840","速報"
"山口県","400570","速報"
"徳島県","233740","速報"
"香川県","468550","速報"
"愛媛県","486660","速報"
"高知県","304360","速報"
"福岡県","1988850","速報"
"佐賀県","233490","速報"
"長崎県","684630","速報"
"熊本県","741820","速報"
"大分県","703610","速報"
"宮崎県","332540","速報"
"鹿児島県","781410","速報"
"沖縄県","2671790","速報"
